topic_id Q0 docno rank score tag
1 Q0 34788312715771904 1 0.8344053 02/04/2021:18:22:44
1 Q0 30570553546903552 2 0.66089094 02/04/2021:18:22:44
1 Q0 30496268895657984 3 0.6584779 02/04/2021:18:22:44
1 Q0 34881869497503744 4 0.6540293 02/04/2021:18:22:44
1 Q0 34532536860286977 5 0.63966763 02/04/2021:18:22:44
1 Q0 32229379287289857 6 0.63794965 02/04/2021:18:22:44
1 Q0 32458010513113088 7 0.62862957 02/04/2021:18:22:44
1 Q0 32096654177861634 8 0.62421095 02/04/2021:18:22:44
1 Q0 34842670362923008 9 0.6198566 02/04/2021:18:22:44
1 Q0 34941439347527680 10 0.61100173 02/04/2021:18:22:44
1 Q0 29339833713295364 11 0.6004863 02/04/2021:18:22:44
1 Q0 34423980056117248 12 0.57737887 02/04/2021:18:22:44
1 Q0 30573789465026560 13 0.5728755 02/04/2021:18:22:44
1 Q0 34697496848646144 14 0.56979483 02/04/2021:18:22:44
1 Q0 30084063427559425 15 0.56171024 02/04/2021:18:22:44
1 Q0 32855140729880577 16 0.5537946 02/04/2021:18:22:44
1 Q0 30776386658504704 17 0.53810024 02/04/2021:18:22:44
1 Q0 34696779828043776 18 0.5343894 02/04/2021:18:22:44
1 Q0 32276264899313664 19 0.531726 02/04/2021:18:22:44
1 Q0 29110754011521024 20 0.5236946 02/04/2021:18:22:44
1 Q0 34763104424439808 21 0.5230308 02/04/2021:18:22:44
1 Q0 30305224316944385 22 0.52275974 02/04/2021:18:22:44
1 Q0 29338856474025984 23 0.52275974 02/04/2021:18:22:44
1 Q0 31029101649207296 24 0.513709 02/04/2021:18:22:44
1 Q0 32894786004324352 25 0.50438803 02/04/2021:18:22:44
1 Q0 32887238928900096 26 0.50438803 02/04/2021:18:22:44
1 Q0 31733093396119552 27 0.5014264 02/04/2021:18:22:44
1 Q0 31941911493214208 28 0.5004251 02/04/2021:18:22:44
1 Q0 33915128260853761 29 0.49991396 02/04/2021:18:22:44
1 Q0 31949915705835520 30 0.49653852 02/04/2021:18:22:44
1 Q0 31935918147379200 31 0.493196 02/04/2021:18:22:44
1 Q0 31080679571718144 32 0.47793743 02/04/2021:18:22:44
1 Q0 29347675602161664 33 0.47179735 02/04/2021:18:22:44
1 Q0 33551930198327296 34 0.46739745 02/04/2021:18:22:44
1 Q0 33527130809700353 35 0.46691886 02/04/2021:18:22:44
1 Q0 29690990021312512 36 0.46687275 02/04/2021:18:22:44
1 Q0 34897505724399616 37 0.46541232 02/04/2021:18:22:44
1 Q0 30407444110778369 38 0.46445262 02/04/2021:18:22:44
1 Q0 34106689644929024 39 0.4626867 02/04/2021:18:22:44
1 Q0 30423507347181568 40 0.46194053 02/04/2021:18:22:44
